filename,label,dataset
"ESD_0001_anger_打远一看,它们的确很",2,ESD
ESD_0001_anger_英国的哲学家曾经说过,2,ESD
"ESD_0001_anger_我老家在北京,哇塞!",2,ESD
ESD_0001_anger_不管怎么说主队好象是,2,ESD
"ESD_0001_anger_我们乘船漂游了三峡,",2,ESD
ESD_0001_anger_我喜欢“北京欢迎你”,2,ESD
ESD_0001_anger_我每个月打一次电话。,2,ESD
ESD_0001_anger_沙尘暴好像给每个人都,2,ESD
"ESD_0001_anger_就是这个意思,你又聪",2,ESD
ESD_0001_anger_个人收藏家!他们肯定,2,ESD
ESD_0001_anger_妇女节快乐。我永远爱,2,ESD
ESD_0001_anger_你每次谈恋爱都像现在,2,ESD
"ESD_0001_anger_周末的我,只忙着陪你",2,ESD
"ESD_0001_anger_谁你也不认识,我很乐",2,ESD
ESD_0001_anger_我特别喜欢网球和登山,2,ESD
ESD_0001_anger_他一定是一眼就被你迷,2,ESD
ESD_0001_anger_很快你上大学就用得到,2,ESD
"ESD_0001_anger_我们意见不和,咱们去",2,ESD
"ESD_0001_anger_不就是你嘛,为什么要",2,ESD
ESD_0001_anger_前几天我碰见了一件有,2,ESD
ESD_0001_anger_已经播至该专辑最后一,2,ESD
ESD_0001_anger_我和我朋友刚从巴厘岛,2,ESD
ESD_0001_anger_做一些好吃的促进宝宝,2,ESD
ESD_0001_anger_你的身影总是在我心里,2,ESD
ESD_0001_anger_我觉得并不是非要有特,2,ESD
"ESD_0001_anger_是的,他很狡猾,经常",2,ESD
ESD_0001_anger_工厂不把它直接排到大,2,ESD
"ESD_0001_anger_没错,就是车门。另外",2,ESD
"ESD_0001_anger_很可爱啊,就像你一样",2,ESD
"ESD_0001_anger_除非你打飞碟球,但这",2,ESD
"ESD_0001_anger_没听清,请问什么时间",2,ESD
ESD_0001_anger_我遇到了一位漂亮的女,2,ESD
"ESD_0001_anger_我是青蛙,不用冬眠的",2,ESD
"ESD_0001_anger_那是马特,他肯定很勇",2,ESD
ESD_0001_anger_这样无辜的人就不会被,2,ESD
ESD_0001_anger_我必须一直通电才能工,2,ESD
ESD_0001_anger_我和我的妻子盼望着和,2,ESD
"ESD_0001_anger_当然是了,我现在快饿",2,ESD
"ESD_0001_anger_没有找到日程,走的时",2,ESD
ESD_0001_anger_是一家制药公司的短期,2,ESD
"ESD_0001_anger_姐忙得很,没空和你说",2,ESD
"ESD_0001_anger_我会暖被窝了,逗你的",2,ESD
"ESD_0001_anger_这样的话,我们可以选",2,ESD
"ESD_0001_anger_比方说,“华尔街日报",2,ESD
ESD_0001_anger_我知道人生并不总是一,2,ESD
ESD_0001_anger_我们可以轮流开车。,2,ESD
ESD_0001_anger_这是台湾地区最大的动,2,ESD
"ESD_0001_anger_时候不早了,我来了,",2,ESD
ESD_0001_anger_递给我一些彩球和纸花,2,ESD
"ESD_0001_anger_每次叫我都不给红包,",2,ESD
"ESD_0001_anger_没关系,也许他老婆会",2,ESD
ESD_0001_anger_你不应该害怕开始一段,2,ESD
"ESD_0001_anger_我肯定会的,那以后我",2,ESD
ESD_0001_anger_我是基于人工智能系统,2,ESD
ESD_0001_anger_它实际会形成一氧化碳,2,ESD
ESD_0001_anger_我参加了一个有关全球,2,ESD
"ESD_0001_anger_跳舞好难呀,我还正在",2,ESD
ESD_0001_anger_让人看上去就感到宽广,2,ESD
"ESD_0001_anger_只要是我能玩好的,我",2,ESD
ESD_0001_anger_坐地铁只需要大约二十,2,ESD
ESD_0001_anger_下个月我姐姐要结婚了,2,ESD
ESD_0001_anger_我是顺路过来跟你告别,2,ESD
ESD_0001_anger_你知道我很努力地在戒,2,ESD
"ESD_0001_anger_我告退了,晚上回去拍",2,ESD
"ESD_0001_anger_一点也不差,先把握好",2,ESD
ESD_0001_anger_我们可以去钓鱼、聊天,2,ESD
ESD_0001_anger_你深深地印在我的脑海,2,ESD
ESD_0001_anger_我应该给女朋友买玫瑰,2,ESD
"ESD_0001_anger_以后不要喝那么多了,",2,ESD
"ESD_0001_anger_心动不如行动,我不太",2,ESD
ESD_0001_anger_只要令人鼓舞的电影我,2,ESD
ESD_0001_anger_资料全都不见了。气死,2,ESD
ESD_0001_anger_她总是带香甜甜的微笑,2,ESD
ESD_0001_anger_今年应该是第二十七个,2,ESD
ESD_0001_anger_我也想去看可爱的熊猫,2,ESD
"ESD_0001_anger_是的,你是个大块头,",2,ESD
